Gene,Scaffold,Chromosome,ZorA,Non.sites,Syn.sites,pN,pS,dN,dS,SPM.Female
Msex2.00001,scaffold00001,14,A,3746.66666666667,1149.33333333333,51,69,8,10,0.416735694773995
Msex2.00002,scaffold00001,14,A,424.333333333333,124.666666666667,2,12,0,0,0.674042370439546
Msex2.00003,scaffold00001,14,A,3093,1035,61,35,15,8,0.628843628364236
Msex2.00004,scaffold00001,14,A,1088.33333333333,345.666666666667,25,21,4,3,0.550091560006486
Msex2.00005,scaffold00001,14,A,7838.66666666667,2163.33333333333,18,20,4,1,0.682811976099108
Msex2.00006,scaffold00001,14,A,2865.66666666667,950.333333333333,53,42,17,16,0.587167431182675
Msex2.00007,scaffold00001,14,A,2300,616,7,10,1,4,0.000241445280742836
Msex2.00008,scaffold00001,14,A,226,74,1,3,0,3,0.458079796567928
Msex2.00009,scaffold00001,14,A,4198.66666666667,1168.33333333333,12,7,10,13,0.592011724903351
Msex2.00010,scaffold00001,14,A,1512.66666666667,419.333333333333,9,4,12,8,0.592439005745253
Msex2.00011,scaffold00001,14,A,5124,1266,19,13,15,18,0.508296179537978
Msex2.00012,scaffold00001,14,A,1831.33333333333,502.666666666667,16,30,11,10,0.523554957199957
Msex2.00013,scaffold00001,14,A,2054,526,19,18,8,3,0.791112553022079
Msex2.00014,scaffold00001,14,A,2419.33333333333,712.666666666667,17,23,4,12,0.738874174744023
Msex2.00015,scaffold00001,14,A,4086,1161,13,8,12,8,0.688259854964869
Msex2.00016,scaffold00001,14,A,756.333333333333,221.666666666667,12,10,1,8,0.127767969909472
Msex2.00017,scaffold00001,14,A,7609.66666666667,2302.33333333333,59,57,26,25,0.716449123832506
Msex2.00018,scaffold00001,14,A,1009.33333333333,277.666666666667,5,50,0,19,0.0197560006043485
Msex2.00019,scaffold00001,14,A,10509,3027,79,57,30,18,0.724653786561236
Msex2.00020,scaffold00001,14,A,930.666666666667,269.333333333333,19,4,8,3,0.52233217548961
Msex2.00021,scaffold00001,14,A,636.333333333333,188.666666666667,0,12,4,12,0.591452978495829
Msex2.00022,scaffold00001,14,A,0,0,0,0,0,0,NA
Msex2.00023,scaffold00001,14,A,968,262,13,5,15,2,0.680690820003441
Msex2.00024,scaffold00001,14,A,1956,600,34,14,24,9,0.584038777015533
Msex2.00025,scaffold00001,14,A,221,58,2,1,0,1,0.595881876449667
Msex2.00026,scaffold00001,14,A,1323.33333333333,368.666666666667,49,16,16,10,0.487805953165264
Msex2.00027,scaffold00001,14,A,409.333333333333,130.666666666667,3,5,1,2,0.857077796327071
Msex2.00028,scaffold00001,14,A,143.333333333333,39.6666666666667,0,0,0,0,0.0256965111053072
Msex2.00029,scaffold00001,14,A,262.333333333333,73.6666666666666,2,0,12,9,0.171974666720157
Msex2.00030,scaffold00001,14,A,266,70,4,4,11,4,0.193516027792942
Msex2.00031,scaffold00001,14,A,401.333333333333,126.666666666667,3,8,1,3,0.533122274454025
Msex2.00032,scaffold00001,14,A,2435.66666666667,756.333333333333,17,36,11,22,0.646349551105949
